#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
esaluw;Esaluw;;;;;;;;;;;;;x
esaluw_adj;Esaluw;;;;;;;;;;;;;x
esaluw_desc;Esaluw;;;;;;;;;;;;;x
e_esaluw;Esaluw;;;;;;;;;;;;;x
e_esaluw_adj;Esaluw;;;;;;;;;;;;;x
e_esaluw_desc;Esaluw;;;;;;;;;;;;;x
alenirc;Alenirc;;;;;;;;;;;;;x
alenirc_adj;Alenirc;;;;;;;;;;;;;x
alenirc_desc;Alenirc;;;;;;;;;;;;;x
k_alenirc;Alenirc;;;;;;;;;;;;;x
k_alenirc_adj;Alenirc;;;;;;;;;;;;;x
k_alenirc_desc;Alenirc;;;;;;;;;;;;;x
weofing;Weofing;;;;;;;;;;;;;x
weofing_adj;Weofing;;;;;;;;;;;;;x
weofing_desc;Weofing;;;;;;;;;;;;;x
d_weofing;Weofing;;;;;;;;;;;;;x
d_weofing_adj;Weofing;;;;;;;;;;;;;x
d_weofing_desc;Weofing;;;;;;;;;;;;;x
ruleald;Ruleald;;;;;;;;;;;;;x
ruleald_adj;Ruleald;;;;;;;;;;;;;x
ruleald_desc;Ruleald;;;;;;;;;;;;;x
c_ruleald;Ruleald;;;;;;;;;;;;;x
c_ruleald_adj;Ruleald;;;;;;;;;;;;;x
c_ruleald_desc;Ruleald;;;;;;;;;;;;;x
PROV1;Ruleald;;;;;;;;;;;;;x
PROV1_adj;Ruleald;;;;;;;;;;;;;x
PROV1_desc;Ruleald;;;;;;;;;;;;;x
b_ruleald;Ruleald;;;;;;;;;;;;;x
b_ruleald_adj;Ruleald;;;;;;;;;;;;;x
b_ruleald_desc;Ruleald;;;;;;;;;;;;;x
b_rutahsa;Rutahsa;;;;;;;;;;;;;x
b_rutahsa_adj;Rutahsa;;;;;;;;;;;;;x
b_rutahsa_desc;Rutahsa;;;;;;;;;;;;;x
boroghan;Boroghan;;;;;;;;;;;;;x
boroghan_adj;Boroghan;;;;;;;;;;;;;x
boroghan_desc;Boroghan;;;;;;;;;;;;;x
c_boroghan;Boroghan;;;;;;;;;;;;;x
c_boroghan_adj;Boroghan;;;;;;;;;;;;;x
c_boroghan_desc;Boroghan;;;;;;;;;;;;;x
PROV2;Boroghan;;;;;;;;;;;;;x
PROV2_adj;Boroghan;;;;;;;;;;;;;x
PROV2_desc;Boroghan;;;;;;;;;;;;;x
b_boroghan;Boroghan;;;;;;;;;;;;;x
b_boroghan_adj;Boroghan;;;;;;;;;;;;;x
b_boroghan_desc;Boroghan;;;;;;;;;;;;;x
b_qunazi;Qunazi;;;;;;;;;;;;;x
b_qunazi_adj;Qunazi;;;;;;;;;;;;;x
b_qunazi_desc;Qunazi;;;;;;;;;;;;;x
ichi;Ichi;;;;;;;;;;;;;x
ichi_adj;Ichi;;;;;;;;;;;;;x
ichi_desc;Ichi;;;;;;;;;;;;;x
c_ichi;Ichi;;;;;;;;;;;;;x
c_ichi_adj;Ichi;;;;;;;;;;;;;x
c_ichi_desc;Ichi;;;;;;;;;;;;;x
PROV3;Ichi;;;;;;;;;;;;;x
PROV3_adj;Ichi;;;;;;;;;;;;;x
PROV3_desc;Ichi;;;;;;;;;;;;;x
b_ichi;Ichi;;;;;;;;;;;;;x
b_ichi_adj;Ichi;;;;;;;;;;;;;x
b_ichi_desc;Ichi;;;;;;;;;;;;;x
b_ichinomiya;Ichinomiya;;;;;;;;;;;;;x
b_ichinomiya_adj;Ichinomiya;;;;;;;;;;;;;x
b_ichinomiya_desc;Ichinomiya;;;;;;;;;;;;;x
